revenue_month,amount
2022-01,671008
2022-02,630094
2022-03,660350
2022-04,663106
2022-05,677318
2022-06,630923
2022-07,678759
2022-08,670660
2022-09,654924
2022-10,676795
2022-11,641637
2022-12,672002
2023-01,680570
2023-02,615845
2023-03,663355
2023-04,641283
2023-05,694265
2023-06,655281
2023-07,677849
2023-08,663087
2023-09,644500
2023-10,677670
2023-11,667572
2023-12,669612
2024-01,675244
2024-02,633213
2024-03,682996
2024-04,640344
2024-05,670153
2024-06,661421
2024-07,669006
2024-08,670314
2024-09,644860
2024-10,667458
2024-11,639610
2024-12,673698
2025-01,684515
2025-02,627126
2025-03,668067
2025-04,326894
