payment_id,customer_id,payment_date,amount,payment_method,payment_status,currency,revenue_month
1,5445,24-01-2023,35,Credit Card,Pending,USD,2023-01
2,30185,08-01-2022,15,PayPal,Pending,EUR,2022-01
3,34079,01-04-2025,199,Credit Card,Failed,INR,2025-04
4,10871,07-12-2023,199,Credit Card,Pending,INR,2023-12
5,25719,04-02-2024,199,UPI,Pending,USD,2024-02
6,17152,23-02-2022,199,PayPal,Completed,INR,2022-02
7,6616,06-03-2025,99,Credit Card,Failed,INR,2025-03
8,16121,18-06-2024,99,Bank Transfer,Pending,USD,2024-06
9,49744,21-08-2024,35,Credit Card,Completed,USD,2024-08
10,12877,07-11-2023,199,UPI,Pending,INR,2023-11
11,20224,11-09-2023,35,PayPal,Pending,EUR,2023-09
12,38638,13-05-2023,35,Credit Card,Failed,EUR,2023-05
13,15785,11-05-2024,99,UPI,Pending,USD,2024-05
14,7129,29-10-2022,15,PayPal,Pending,USD,2022-10
15,29776,14-02-2022,99,Credit Card,Completed,USD,2022-02
16,32974,22-04-2022,35,Credit Card,Completed,EUR,2022-04
17,12045,02-12-2022,199,Credit Card,Pending,USD,2022-12
18,38419,05-02-2025,99,UPI,Failed,INR,2025-02
19,30450,06-05-2023,15,Credit Card,Pending,USD,2023-05
20,14664,01-11-2022,99,UPI,Failed,INR,2022-11
21,48562,26-09-2024,35,Bank Transfer,Pending,USD,2024-09
22,16271,08-03-2025,15,Credit Card,Completed,INR,2025-03
23,933,14-12-2024,15,UPI,Completed,EUR,2024-12
24,11568,19-01-2023,199,PayPal,Pending,USD,2023-01
25,20159,18-02-2024,35,PayPal,Failed,USD,2024-02
26,24250,01-11-2022,15,UPI,Pending,INR,2022-11
27,5838,12-04-2023,35,Bank Transfer,Pending,EUR,2023-04
28,30301,28-04-2022,35,Credit Card,Pending,USD,2022-04
29,3195,30-04-2022,199,Bank Transfer,Pending,INR,2022-04
30,36344,09-06-2023,199,Bank Transfer,Pending,EUR,2023-06
31,40509,06-10-2022,35,Credit Card,Pending,INR,2022-10
32,27962,11-03-2022,35,Credit Card,Failed,USD,2022-03
33,47881,13-02-2025,199,Credit Card,Pending,INR,2025-02
34,30070,05-10-2024,35,PayPal,Failed,USD,2024-10
35,44265,20-05-2023,35,UPI,Failed,INR,2023-05
36,19917,25-05-2023,99,UPI,Completed,INR,2023-05
37,44990,14-12-2024,35,PayPal,Completed,USD,2024-12
38,27758,25-01-2022,99,Credit Card,Failed,USD,2022-01
39,33990,06-10-2024,35,Bank Transfer,Pending,EUR,2024-10
40,19851,07-01-2025,15,PayPal,Failed,USD,2025-01
41,21522,25-01-2022,15,Bank Transfer,Failed,INR,2022-01
42,38169,22-10-2022,35,Bank Transfer,Failed,INR,2022-10
43,5515,18-12-2024,99,Bank Transfer,Failed,EUR,2024-12
44,33437,02-01-2022,15,UPI,Pending,INR,2022-01
45,7678,11-03-2024,99,PayPal,Pending,EUR,2024-03
46,31898,23-06-2023,199,PayPal,Pending,USD,2023-06
47,26780,05-08-2024,15,Bank Transfer,Failed,EUR,2024-08
48,7210,09-05-2022,35,Credit Card,Completed,USD,2022-05
49,42403,15-10-2023,35,Credit Card,Completed,USD,2023-10
