subscription_id,customer_id,plan_name,billing_cycle,subscription_start,subscription_end,monthly_price,subscription_status,auto_renew,revenue_segment
1,1,Pro,Monthly,16-04-2024,07-09-2024,35,Paused,TRUE,Medium Revenue
2,2,Free,Yearly,18-06-2024,03-06-2026,0,Paused,TRUE,Free
3,3,Starter,Monthly,07-09-2022,17-12-2023,15,Paused,FALSE,Low Revenue
4,4,Starter,Monthly,18-02-2024,24-07-2024,15,Cancelled,FALSE,Low Revenue
5,5,Pro,Yearly,27-12-2023,01-08-2025,35,Paused,TRUE,Medium Revenue
6,6,Pro,Monthly,28-05-2022,28-03-2023,35,Cancelled,TRUE,Medium Revenue
7,7,Pro,Monthly,06-04-2025,26-04-2026,35,Active,FALSE,Medium Revenue
8,8,Starter,Yearly,09-03-2025,22-11-2026,15,Active,TRUE,Low Revenue
9,9,Free,Monthly,04-11-2024,11-10-2026,0,Cancelled,TRUE,Free
10,10,Pro,Monthly,26-02-2024,14-07-2024,35,Cancelled,FALSE,Medium Revenue
11,11,Pro,Monthly,13-09-2023,01-02-2024,35,Paused,FALSE,Medium Revenue
12,12,Pro,Yearly,15-11-2022,25-01-2024,35,Active,TRUE,Medium Revenue
13,13,Free,Monthly,22-01-2022,03-08-2022,0,Active,TRUE,Free
14,14,Enterprise,Monthly,16-07-2022,08-01-2024,99,Cancelled,TRUE,High Revenue
15,15,Pro,Yearly,14-03-2024,16-02-2026,35,Cancelled,TRUE,Medium Revenue
16,16,Free,Monthly,28-07-2023,12-12-2024,0,Paused,FALSE,Free
17,17,Enterprise,Monthly,20-05-2024,20-01-2026,99,Paused,FALSE,High Revenue
18,18,Starter,Yearly,01-05-2023,23-03-2025,15,Cancelled,FALSE,Low Revenue
19,19,Pro,Monthly,02-02-2022,18-03-2022,35,Active,FALSE,Medium Revenue
20,20,Starter,Monthly,26-05-2024,18-11-2024,15,Active,FALSE,Low Revenue
21,21,Pro,Yearly,09-11-2024,10-08-2026,35,Cancelled,FALSE,Medium Revenue
22,22,Pro,Yearly,05-08-2024,15-11-2025,35,Cancelled,FALSE,Medium Revenue
23,23,Starter,Monthly,26-07-2022,15-07-2023,15,Active,TRUE,Low Revenue
24,24,Starter,Monthly,27-09-2023,16-11-2024,15,Paused,FALSE,Low Revenue
25,25,Starter,Yearly,19-12-2022,04-02-2024,15,Active,TRUE,Low Revenue
26,26,Pro,Yearly,27-08-2024,14-11-2024,35,Cancelled,FALSE,Medium Revenue
27,27,Free,Yearly,04-08-2022,12-11-2023,0,Active,FALSE,Free
28,28,Enterprise,Yearly,30-05-2024,24-12-2024,99,Active,TRUE,High Revenue
29,29,Starter,Monthly,18-11-2022,25-04-2024,15,Paused,TRUE,Low Revenue
30,30,Starter,Yearly,12-11-2024,25-01-2026,15,Active,TRUE,Low Revenue
31,31,Free,Yearly,16-03-2022,19-06-2022,0,Active,TRUE,Free
32,32,Enterprise,Monthly,15-03-2025,18-01-2026,99,Active,TRUE,High Revenue
33,33,Starter,Yearly,07-07-2023,16-12-2023,15,Active,FALSE,Low Revenue
34,34,Starter,Yearly,01-07-2022,13-04-2023,15,Active,TRUE,Low Revenue
35,35,Enterprise,Yearly,17-08-2022,29-05-2023,99,Active,TRUE,High Revenue
36,36,Pro,Yearly,07-08-2022,09-11-2022,35,Paused,FALSE,Medium Revenue
37,37,Pro,Monthly,23-05-2023,21-02-2024,35,Active,TRUE,Medium Revenue
38,38,Free,Yearly,05-09-2023,30-12-2024,0,Cancelled,TRUE,Free
39,39,Pro,Yearly,12-04-2022,24-06-2023,35,Active,FALSE,Medium Revenue
40,40,Starter,Yearly,01-03-2025,16-04-2025,15,Paused,TRUE,Low Revenue
41,41,Pro,Monthly,23-10-2022,22-01-2023,35,Active,TRUE,Medium Revenue
42,42,Starter,Yearly,23-08-2022,05-10-2022,15,Cancelled,FALSE,Low Revenue
43,43,Pro,Monthly,18-04-2023,24-03-2024,35,Paused,FALSE,Medium Revenue
44,44,Starter,Monthly,02-11-2024,25-04-2025,15,Cancelled,TRUE,Low Revenue
45,45,Enterprise,Yearly,22-02-2024,25-08-2025,99,Cancelled,FALSE,High Revenue
46,46,Starter,Yearly,28-06-2022,09-01-2024,15,Cancelled,FALSE,Low Revenue
