churn_id,customer_id,churn_date,churn_reason,competitor_name,last_active_days
1,29905,2023-09-05,Missing Features,Monday.com,116
2,37698,2024-04-20,Poor Experience,Asana,109
3,39287,2022-05-18,Technical Issues,ClickUp,52
4,48500,2022-08-06,Technical Issues,Notion,41
5,31296,2024-09-22,Technical Issues,Slack,106
6,46417,2024-05-18,High Pricing,ClickUp,11
7,22798,2024-05-15,Low Usage,Asana,1
8,12883,2022-09-04,Missing Features,Monday.com,101
9,22035,2024-02-07,Poor Experience,ClickUp,14
10,14727,2025-01-30,Missing Features,ClickUp,38
11,22079,2025-02-22,High Pricing,ClickUp,51
12,12415,2023-02-12,Switched Competitor,ClickUp,75
13,46048,2023-03-21,Switched Competitor,Monday.com,76
14,5151,2023-02-08,Poor Experience,Asana,90
15,31205,2022-05-01,Poor Experience,Asana,95
16,44065,2023-03-06,Switched Competitor,Asana,57
17,5470,2024-12-08,Poor Experience,Notion,30
18,17420,2023-09-07,High Pricing,Slack,30
19,24929,2023-03-29,Missing Features,Slack,78
20,16226,2022-06-24,Poor Experience,Monday.com,111
21,19026,2024-06-08,Low Usage,ClickUp,93
22,26857,2022-12-22,Technical Issues,Asana,53
23,562,2022-05-25,Poor Experience,Slack,90
24,36626,2022-12-29,Poor Experience,Asana,92
25,48627,2025-01-25,Switched Competitor,Notion,119
26,25053,2024-05-15,Missing Features,Slack,100
27,27983,2022-09-10,Missing Features,ClickUp,27
28,42138,2025-01-19,High Pricing,ClickUp,40
29,15139,2022-02-27,Missing Features,Asana,50
30,18884,2023-09-01,Technical Issues,ClickUp,94
31,34820,2023-03-13,Missing Features,Asana,118
32,16758,2024-03-07,Missing Features,Notion,35
33,280,2022-07-23,Switched Competitor,Slack,117
34,16084,2024-01-16,Technical Issues,Notion,84
35,49144,2024-06-05,Poor Experience,Slack,92
36,16566,2023-04-10,Low Usage,ClickUp,58
37,627,2023-06-04,Low Usage,Slack,74
38,30232,2024-12-01,Switched Competitor,Monday.com,58
39,12611,2024-11-11,Technical Issues,Notion,49
40,5112,2024-01-23,Technical Issues,Slack,114
41,34976,2023-09-22,Switched Competitor,Slack,119
42,27203,2024-12-27,Low Usage,Slack,66
43,19331,2024-11-08,Missing Features,Slack,25
