payment_id,customer_id,payment_date,amount,payment_method,payment_status,currency
1,5445,2023-01-24,35,Credit Card,Pending,USD
2,30185,2022-01-08,15,PayPal,Pending,EUR
3,34079,2025-04-01,199,Credit Card,Failed,INR
4,10871,2023-12-07,199,Credit Card,Pending,INR
5,25719,2024-02-04,199,UPI,Pending,USD
6,17152,2022-02-23,199,PayPal,Completed,INR
7,6616,2025-03-06,99,Credit Card,Failed,INR
8,16121,2024-06-18,99,Bank Transfer,Pending,USD
9,49744,2024-08-21,35,Credit Card,Completed,USD
10,12877,2023-11-07,199,UPI,Pending,INR
11,20224,2023-09-11,35,PayPal,Pending,EUR
12,38638,2023-05-13,35,Credit Card,Failed,EUR
13,15785,2024-05-11,99,UPI,Pending,USD
14,7129,2022-10-29,15,PayPal,Pending,USD
15,29776,2022-02-14,99,Credit Card,Completed,USD
16,32974,2022-04-22,35,Credit Card,Completed,EUR
17,12045,2022-12-02,199,Credit Card,Pending,USD
18,38419,2025-02-05,99,UPI,Failed,INR
19,30450,2023-05-06,15,Credit Card,Pending,USD
20,14664,2022-11-01,99,UPI,Failed,INR
21,48562,2024-09-26,35,Bank Transfer,Pending,USD
22,16271,2025-03-08,15,Credit Card,Completed,INR
23,933,2024-12-14,15,UPI,Completed,EUR
24,11568,2023-01-19,199,PayPal,Pending,USD
25,20159,2024-02-18,35,PayPal,Failed,USD
26,24250,2022-11-01,15,UPI,Pending,INR
27,5838,2023-04-12,35,Bank Transfer,Pending,EUR
28,30301,2022-04-28,35,Credit Card,Pending,USD
29,3195,2022-04-30,199,Bank Transfer,Pending,INR
30,36344,2023-06-09,199,Bank Transfer,Pending,EUR
31,40509,2022-10-06,35,Credit Card,Pending,INR
32,27962,2022-03-11,35,Credit Card,Failed,USD
33,47881,2025-02-13,199,Credit Card,Pending,INR
34,30070,2024-10-05,35,PayPal,Failed,USD
35,44265,2023-05-20,35,UPI,Failed,INR
36,19917,2023-05-25,99,UPI,Completed,INR
37,44990,2024-12-14,35,PayPal,Completed,USD
38,27758,2022-01-25,99,Credit Card,Failed,USD
39,33990,2024-10-06,35,Bank Transfer,Pending,EUR
40,19851,2025-01-07,15,PayPal,Failed,USD
41,21522,2022-01-25,15,Bank Transfer,Failed,INR
42,38169,2022-10-22,35,Bank Transfer,Failed,INR
43,5515,2024-12-18,99,Bank Transfer,Failed,EUR
44,33437,2022-01-02,15,UPI,Pending,INR
45,7678,2024-03-11,99,PayPal,Pending,EUR
46,31898,2023-06-23,199,PayPal,Pending,USD
47,26780,2024-08-05,15,Bank Transfer,Failed,EUR
48,7210,2022-05-09,35,Credit Card,Completed,USD
49,42403,2023-10-15,35,Credit Card,Completed,USD
50,16303,2023-02-07,99,UPI,Pending,EUR
51,46059,2023-04-20,35,Credit Card,Pending,EUR
52,28760,2022-05-07,15,PayPal,Pending,EUR
53,44117,2022-01-31,199,PayPal,Completed,INR
54,3384,2024-08-26,15,Credit Card,Completed,USD
55,39332,2022-03-23,15,PayPal,Completed,USD
56,18710,2023-04-02,15,Credit Card,Pending,USD
57,8832,2024-03-09,35,Credit Card,Pending,EUR
58,32154,2024-09-14,35,UPI,Failed,EUR
59,18445,2023-10-19,199,Bank Transfer,Pending,EUR
60,42058,2024-12-24,199,UPI,Pending,USD
61,35507,2023-08-12,199,Bank Transfer,Failed,USD
62,43522,2024-01-16,35,Credit Card,Pending,INR
63,33806,2023-03-14,199,Bank Transfer,Completed,USD
64,40059,2022-03-29,199,Bank Transfer,Completed,EUR
65,35264,2023-05-03,15,Bank Transfer,Completed,EUR
66,7262,2024-11-07,99,PayPal,Pending,INR
67,44704,2022-04-04,15,PayPal,Failed,EUR
68,38208,2022-03-26,199,PayPal,Completed,EUR
69,20330,2022-02-21,199,Credit Card,Completed,INR
70,10863,2022-01-21,99,PayPal,Pending,INR
71,45126,2022-10-15,15,Bank Transfer,Completed,EUR
72,2736,2023-05-08,199,PayPal,Failed,INR
73,48746,2024-10-26,15,UPI,Completed,USD
74,12022,2024-04-04,99,Bank Transfer,Pending,EUR
75,10774,2023-12-20,35,PayPal,Failed,INR
76,13489,2022-07-20,99,PayPal,Pending,EUR
77,5495,2025-02-25,99,Bank Transfer,Failed,INR
78,19230,2024-12-25,99,Credit Card,Pending,EUR
79,31318,2023-12-21,199,PayPal,Failed,USD
80,31393,2024-05-23,199,Credit Card,Failed,EUR
81,1199,2023-12-09,15,Credit Card,Completed,USD
82,3549,2023-05-08,35,PayPal,Pending,USD
83,36218,2022-01-24,35,Credit Card,Completed,INR
84,34856,2024-09-27,199,PayPal,Completed,EUR
85,37117,2023-04-25,199,Credit Card,Failed,INR
86,19588,2023-11-24,15,PayPal,Completed,USD
87,44402,2025-01-30,199,Credit Card,Completed,EUR
88,33550,2024-07-23,15,Bank Transfer,Pending,USD
89,18780,2023-11-24,35,UPI,Completed,EUR
90,35107,2023-02-12,15,UPI,Completed,USD
91,23674,2023-08-16,15,Credit Card,Completed,EUR
92,1646,2022-07-22,199,Bank Transfer,Completed,EUR
93,39792,2023-12-01,199,Credit Card,Failed,USD
94,29918,2022-09-29,35,Bank Transfer,Completed,INR
95,24287,2023-07-22,99,UPI,Failed,USD
96,42703,2025-03-23,15,UPI,Completed,EUR
97,16491,2022-02-10,15,Credit Card,Pending,USD
98,15108,2023-10-31,199,PayPal,Completed,USD
99,35316,2024-01-02,199,PayPal,Completed,INR
100,9367,2024-06-28,15,Credit Card,Completed,INR
101,10378,2022-09-14,199,Bank Transfer,Failed,EUR
102,10813,2022-03-14,99,PayPal,Pending,USD
103,18411,2022-12-27,199,Bank Transfer,Failed,EUR
104,46607,2024-03-07,15,PayPal,Pending,USD
105,16428,2022-01-16,99,Bank Transfer,Failed,USD
106,29081,2024-05-14,99,Bank Transfer,Pending,USD
107,38217,2022-01-10,15,Bank Transfer,Pending,USD
108,21667,2024-11-12,99,Bank Transfer,Completed,EUR
109,41091,2022-05-03,199,Bank Transfer,Pending,EUR
110,3331,2023-03-11,35,UPI,Failed,USD
111,41623,2022-02-19,99,UPI,Completed,USD
112,18240,2022-03-14,35,Credit Card,Pending,INR
113,48095,2023-01-17,35,PayPal,Pending,USD
114,25059,2022-11-20,15,UPI,Failed,USD
115,28194,2023-08-22,99,UPI,Failed,USD
116,24287,2024-09-15,15,UPI,Completed,EUR
117,9053,2024-08-13,199,UPI,Completed,USD
118,11147,2024-07-14,35,PayPal,Failed,INR
119,24923,2022-07-25,99,UPI,Pending,INR
120,32044,2025-03-21,99,UPI,Completed,USD
121,34133,2024-08-17,35,PayPal,Completed,INR
122,2333,2024-07-30,35,Credit Card,Pending,EUR
123,13472,2023-07-06,199,UPI,Completed,EUR
124,10579,2023-03-24,199,PayPal,Completed,EUR
125,31027,2022-06-05,199,UPI,Failed,USD
126,9665,2024-05-17,199,Credit Card,Failed,INR
127,38100,2022-03-24,15,UPI,Pending,USD
128,45331,2024-01-04,199,PayPal,Pending,USD
129,15899,2025-02-14,35,UPI,Failed,EUR
130,16859,2023-02-12,35,Credit Card,Completed,USD
131,43426,2024-09-22,15,PayPal,Failed,EUR
132,39148,2022-03-01,35,Bank Transfer,Pending,INR
133,28420,2024-09-25,99,UPI,Failed,EUR
134,38988,2025-01-03,15,Bank Transfer,Failed,USD
135,15459,2022-05-06,15,Bank Transfer,Failed,INR
136,38454,2023-10-17,35,UPI,Completed,EUR
137,42585,2024-12-17,15,PayPal,Completed,EUR
138,17828,2022-06-01,199,Credit Card,Completed,INR
139,46976,2025-03-29,35,PayPal,Completed,EUR
140,49426,2024-06-02,99,Bank Transfer,Pending,EUR
141,17202,2023-06-07,99,Credit Card,Failed,INR
142,29423,2024-12-29,15,UPI,Failed,INR
143,42386,2022-08-11,15,Bank Transfer,Completed,EUR
144,47190,2025-02-28,35,UPI,Failed,USD
145,46581,2022-04-18,35,Credit Card,Failed,EUR
146,42003,2023-04-16,35,Bank Transfer,Failed,INR
147,23418,2024-07-19,99,PayPal,Completed,INR
148,14403,2023-06-29,199,UPI,Failed,EUR
149,2481,2024-07-26,99,Bank Transfer,Failed,EUR
150,10765,2022-01-02,99,Credit Card,Failed,USD
151,18653,2022-04-02,35,UPI,Completed,USD
152,3546,2023-02-10,35,Credit Card,Failed,EUR
153,45543,2024-10-07,199,PayPal,Pending,USD
154,22881,2022-03-01,99,PayPal,Failed,INR
155,7227,2023-01-26,199,Bank Transfer,Failed,USD
156,2254,2022-02-04,35,Bank Transfer,Completed,EUR
157,46389,2023-08-20,35,Bank Transfer,Failed,USD
158,15204,2024-01-28,99,Bank Transfer,Completed,USD
159,48686,2024-08-01,99,UPI,Completed,USD
160,21197,2022-05-22,15,UPI,Failed,INR
161,33975,2023-03-02,99,Credit Card,Failed,INR
162,26852,2024-04-11,199,Bank Transfer,Failed,EUR
163,8375,2023-02-20,99,Bank Transfer,Failed,USD
164,30174,2024-05-11,99,UPI,Completed,INR
165,33581,2025-03-03,15,UPI,Failed,EUR
166,45346,2022-01-24,199,PayPal,Failed,USD
167,23554,2022-11-07,99,UPI,Pending,EUR
168,23004,2024-08-27,35,UPI,Pending,USD
169,5999,2022-06-18,15,Credit Card,Completed,EUR
170,24606,2022-07-26,199,Bank Transfer,Failed,USD
171,27728,2024-02-18,35,Credit Card,Completed,USD
172,8300,2023-02-14,199,UPI,Pending,EUR
173,39047,2024-05-28,199,PayPal,Failed,EUR
174,20406,2023-08-31,15,PayPal,Pending,INR
175,4764,2024-05-24,35,PayPal,Pending,USD
176,8228,2022-08-05,15,Credit Card,Failed,INR
177,33937,2024-03-20,15,Bank Transfer,Failed,EUR
178,21432,2022-12-13,99,Credit Card,Failed,INR
179,2738,2022-05-14,99,UPI,Pending,USD
180,17106,2022-11-03,99,UPI,Completed,INR
181,23075,2024-05-29,35,PayPal,Pending,INR
182,23870,2024-02-09,15,Bank Transfer,Completed,EUR
183,10772,2022-06-21,199,UPI,Failed,USD
184,31956,2025-03-16,99,UPI,Failed,USD
185,35266,2023-07-26,99,UPI,Pending,INR
186,13846,2024-06-10,199,UPI,Failed,USD
187,38566,2022-05-26,199,UPI,Pending,USD
188,26997,2022-12-14,15,PayPal,Completed,EUR
189,26179,2023-10-03,199,Credit Card,Failed,EUR
190,19630,2023-02-13,35,Credit Card,Completed,USD
191,18803,2025-04-06,99,PayPal,Failed,USD
192,5359,2022-12-22,15,PayPal,Failed,INR
193,36171,2025-02-24,199,PayPal,Completed,USD
194,21836,2022-03-12,199,PayPal,Completed,INR
195,1966,2024-03-16,199,UPI,Completed,USD
196,36290,2024-09-03,35,Credit Card,Completed,INR
197,40614,2022-11-05,35,UPI,Pending,INR
198,43719,2025-01-04,15,Credit Card,Failed,USD
199,14338,2024-01-04,15,Credit Card,Pending,USD
200,11445,2022-10-07,15,PayPal,Failed,USD
201,35910,2023-04-02,99,Credit Card,Failed,USD
202,9635,2022-07-17,99,Credit Card,Completed,INR
203,47844,2024-12-25,35,UPI,Pending,INR
204,7520,2024-12-04,35,UPI,Failed,INR
205,6843,2023-10-23,35,UPI,Completed,INR
206,9046,2024-06-25,35,UPI,Pending,INR
207,20849,2024-10-11,15,Bank Transfer,Pending,INR
208,9777,2022-12-01,199,UPI,Completed,EUR
209,5239,2023-06-28,15,PayPal,Pending,INR
210,24656,2024-06-08,199,UPI,Pending,EUR
211,42144,2022-03-28,99,Credit Card,Failed,EUR
212,12558,2023-01-28,199,Credit Card,Pending,INR
213,41469,2023-05-15,15,UPI,Pending,USD
214,45189,2024-04-16,15,Credit Card,Failed,USD
215,46110,2022-05-08,199,Bank Transfer,Failed,INR
216,16985,2024-03-23,99,PayPal,Completed,EUR
217,26761,2022-08-21,99,PayPal,Completed,EUR
218,48040,2023-07-15,199,Credit Card,Pending,INR
219,32150,2025-02-24,99,Credit Card,Failed,INR
220,1090,2024-09-07,15,UPI,Failed,USD
221,26199,2024-05-03,15,Bank Transfer,Completed,EUR
222,40580,2023-01-10,199,PayPal,Pending,USD
223,40275,2025-01-17,15,Bank Transfer,Failed,INR
224,1954,2024-04-26,199,UPI,Pending,USD
225,2634,2022-01-31,15,Credit Card,Failed,INR
226,9896,2025-02-01,99,PayPal,Failed,EUR
227,16187,2023-07-27,35,Bank Transfer,Pending,EUR
228,26395,2023-05-14,15,UPI,Pending,INR
229,5415,2023-07-08,35,PayPal,Pending,INR
230,4379,2024-06-18,15,PayPal,Failed,EUR
231,5818,2022-10-28,15,PayPal,Completed,INR
232,31304,2022-02-16,15,Credit Card,Pending,USD
233,17978,2024-02-05,199,Credit Card,Completed,INR
234,39920,2022-12-31,99,Credit Card,Failed,USD
235,469,2023-03-08,35,Credit Card,Completed,USD
236,16301,2022-09-15,99,Credit Card,Failed,INR
237,17874,2024-10-10,199,UPI,Completed,EUR
238,44227,2023-12-05,15,Bank Transfer,Completed,INR
239,13684,2024-09-05,199,Bank Transfer,Completed,INR
240,18990,2023-09-17,35,UPI,Failed,EUR
241,20876,2024-02-09,35,UPI,Failed,USD
242,36489,2025-01-04,35,PayPal,Completed,USD
243,23379,2024-09-02,99,PayPal,Completed,USD
244,26654,2022-05-24,99,Credit Card,Failed,USD
245,31257,2023-06-15,35,UPI,Pending,USD
246,32882,2023-11-05,15,UPI,Completed,USD
247,41657,2022-02-01,199,Bank Transfer,Completed,USD
248,14223,2024-02-05,15,UPI,Failed,INR
249,32903,2023-11-26,99,Credit Card,Pending,USD
250,11048,2022-11-07,99,Bank Transfer,Completed,USD
251,21563,2024-10-05,99,Bank Transfer,Failed,INR
252,36469,2023-03-17,199,Bank Transfer,Pending,USD
253,33682,2022-08-20,35,Credit Card,Failed,USD
254,11805,2023-08-11,99,Credit Card,Completed,USD
255,30993,2022-09-15,35,PayPal,Failed,INR
256,20824,2023-11-06,199,Credit Card,Failed,EUR
257,15565,2023-10-11,35,PayPal,Completed,USD
258,22947,2022-03-06,15,UPI,Completed,USD
259,2754,2024-12-15,35,UPI,Failed,INR
260,48053,2024-09-08,15,PayPal,Pending,USD
261,38885,2023-08-21,35,Credit Card,Pending,INR
262,40907,2022-06-24,199,Credit Card,Pending,USD
263,17437,2024-11-21,199,PayPal,Failed,EUR
264,46732,2024-10-03,35,Bank Transfer,Completed,INR
265,24749,2024-02-05,15,Bank Transfer,Pending,INR
266,37672,2023-01-25,199,PayPal,Pending,USD
267,10788,2024-01-20,99,UPI,Completed,USD
268,45996,2023-10-22,35,UPI,Completed,EUR
269,31738,2024-07-20,199,UPI,Completed,USD
270,39508,2022-07-23,99,Credit Card,Failed,EUR
271,25408,2022-05-21,35,Credit Card,Completed,EUR
272,39432,2022-02-14,99,Bank Transfer,Failed,INR
273,17048,2023-07-14,99,PayPal,Pending,USD
274,41421,2023-08-26,199,Bank Transfer,Failed,USD
275,34995,2023-10-02,199,PayPal,Failed,EUR
276,17504,2022-11-10,15,UPI,Completed,INR
277,13685,2022-09-11,35,PayPal,Failed,USD
278,34084,2024-06-13,35,Bank Transfer,Failed,INR
279,9520,2023-12-29,35,Bank Transfer,Failed,USD
280,8023,2022-04-11,15,UPI,Pending,USD
281,35520,2022-11-13,15,Bank Transfer,Pending,USD
282,14725,2022-05-12,35,Bank Transfer,Completed,USD
283,3358,2025-03-23,199,Credit Card,Pending,EUR
284,23207,2023-11-03,199,Credit Card,Failed,INR
285,36446,2023-11-28,99,Bank Transfer,Failed,INR
286,26672,2022-07-08,15,Credit Card,Failed,USD
287,4714,2025-02-17,199,PayPal,Failed,INR
