usage_id,customer_id,login_date,session_duration_minutes,features_used,projects_created,ai_requests
1,25348,2023-09-11,114,2,10,75
2,7918,2022-03-07,101,2,8,37
3,92,2025-03-30,24,12,11,57
4,31999,2022-08-03,171,15,0,44
5,4132,2022-12-02,176,18,3,8
6,30186,2022-09-13,235,5,11,44
7,38087,2022-08-03,160,1,15,89
8,19153,2023-05-11,39,9,14,12
9,53,2022-02-02,188,16,13,98
10,31322,2023-07-25,155,14,12,96
11,7144,2023-11-10,68,13,1,82
12,5011,2022-01-03,189,9,10,23
13,41686,2023-08-29,6,10,14,53
14,8899,2024-02-28,92,3,12,77
15,29436,2025-01-22,72,15,14,21
16,12279,2022-09-20,25,12,9,14
17,45383,2022-06-15,146,5,6,41
18,32447,2022-01-09,140,15,6,100
19,15151,2022-06-09,153,20,4,52
20,25483,2024-12-20,60,15,13,78
21,15782,2024-05-17,204,8,11,54
22,3736,2022-02-19,148,6,3,74
23,35126,2022-08-24,236,9,13,44
24,5835,2024-05-20,138,19,1,85
25,12,2023-02-18,43,8,11,21
26,14151,2022-02-11,57,5,14,86
27,29846,2022-01-19,199,6,12,98
28,28099,2024-03-11,147,19,8,23
29,8306,2024-07-11,75,5,10,13
30,42467,2023-03-29,16,18,10,21
31,47946,2024-12-02,164,3,10,30
32,1405,2022-04-14,173,19,13,78
33,15065,2023-02-04,6,2,12,91
34,36180,2023-10-16,230,16,0,49
35,49569,2025-02-04,204,3,9,72
36,37127,2024-02-26,88,12,11,97
37,30008,2022-10-28,201,17,14,44
38,464,2022-02-18,77,7,8,95
39,47269,2023-09-27,173,15,15,3
40,4011,2022-08-27,107,6,8,87
41,37227,2022-01-24,117,10,0,56
42,40343,2024-07-14,84,17,3,58
43,45330,2025-03-22,68,11,10,69
44,37215,2023-06-12,170,15,9,57
45,495,2024-07-12,41,7,0,33
46,45410,2025-03-16,122,5,11,56
47,10735,2022-12-11,23,4,2,49
48,44393,2023-02-14,168,13,7,70
49,3004,2022-07-06,8,20,8,13
50,21293,2022-05-20,146,7,12,64
51,25461,2022-05-04,26,8,4,8
52,22525,2022-05-04,221,2,12,80
53,10687,2024-12-06,150,3,9,66
54,43083,2024-05-06,141,2,0,89
55,44308,2022-08-11,160,17,3,1
56,11571,2023-05-29,221,9,6,72
57,268,2023-01-12,62,11,10,26
58,17576,2024-10-30,177,20,6,71
59,6558,2024-10-08,227,13,9,49
60,49756,2025-01-30,12,5,13,85
61,39082,2024-07-02,94,14,4,12
62,42737,2024-04-23,62,11,14,79
63,18827,2024-10-30,122,6,5,14
64,49622,2022-07-17,106,14,7,52
65,19437,2023-07-14,42,9,6,3
66,39098,2024-10-17,86,12,0,53
67,48644,2022-07-01,82,8,15,33
68,6929,2024-06-10,68,20,5,3
69,40834,2023-01-29,91,20,14,15
70,18584,2023-05-02,71,15,10,89
71,11154,2024-09-02,209,17,3,80
72,25827,2023-08-19,141,15,14,13
73,38714,2022-04-13,139,18,13,100
74,37569,2024-03-06,104,3,14,30
75,49246,2023-05-04,141,17,5,59
76,15156,2024-05-21,111,19,12,75
77,38253,2022-01-07,172,10,3,100
78,37987,2024-06-10,139,9,1,36
79,28728,2022-02-21,63,16,14,94
80,31255,2023-02-15,88,12,0,86
81,32514,2023-12-18,24,18,4,90
82,15916,2022-12-14,57,18,1,46
83,33491,2022-09-22,116,4,10,41
84,48214,2022-06-01,219,7,0,83
85,41545,2022-06-01,158,15,1,16
86,47145,2023-12-12,197,18,15,51
87,12093,2022-09-12,15,9,3,51
88,32453,2024-01-16,235,10,3,31
89,16530,2023-01-25,23,10,0,98
90,16096,2024-05-07,7,19,4,52
91,14720,2023-01-15,87,18,11,8
92,48703,2024-04-02,231,1,6,72
93,25393,2023-01-28,204,12,4,88
94,13541,2024-04-03,120,16,8,81
95,45011,2025-02-15,91,15,11,53
96,23166,2022-07-09,82,18,6,50
97,42590,2022-11-11,179,6,5,8
98,34795,2022-10-11,185,3,2,57
99,47665,2024-02-09,178,5,3,64
100,11469,2023-07-05,124,20,2,42
101,23852,2023-04-28,141,15,8,71
102,26525,2024-03-16,6,18,10,40
103,46313,2022-05-11,198,14,11,42
104,7518,2024-03-06,69,11,8,46
105,1292,2024-09-22,48,8,1,54
106,12422,2025-03-04,152,2,2,53
107,28857,2022-01-13,19,18,14,26
108,24139,2022-12-07,45,15,13,67
109,18194,2022-04-13,207,18,3,4
110,8713,2024-12-26,130,16,6,69
111,38443,2022-02-01,119,5,4,73
112,41929,2022-09-23,75,2,2,5
113,45898,2024-09-08,216,18,4,21
114,37747,2023-06-28,122,8,2,13
115,35123,2024-11-21,28,13,3,17
116,19420,2024-03-16,157,12,4,18
117,3149,2022-04-03,93,15,3,6
118,16584,2022-07-14,117,13,10,98
119,15047,2022-10-31,216,4,1,30
120,47520,2023-04-14,115,12,6,96
121,6335,2023-04-17,133,11,1,94
122,25957,2025-02-01,53,1,6,52
123,45641,2023-12-04,18,19,2,14
124,4012,2024-07-01,89,16,2,17
125,45700,2024-04-23,118,8,1,59
126,24613,2023-10-12,6,20,9,49
127,12791,2024-02-09,81,12,4,44
128,21072,2023-05-05,104,14,3,57
129,22783,2022-12-27,204,5,1,65
130,5768,2022-04-08,10,8,3,77
131,9432,2022-05-04,217,7,7,63
132,17527,2024-08-25,234,15,13,41
133,44114,2022-05-13,146,20,14,31
134,38583,2024-12-10,233,4,15,66
135,42658,2023-09-04,117,19,0,86
136,24388,2024-04-30,197,17,15,85
137,21548,2022-12-23,195,6,0,76
138,22925,2023-01-22,205,5,2,44
139,41566,2024-02-26,77,7,6,53
140,11174,2025-04-01,211,8,11,0
141,23846,2023-07-18,48,8,9,70
142,19108,2022-11-25,156,17,0,50
143,28318,2024-05-24,68,3,2,80
144,39371,2024-10-07,226,14,0,76
145,32477,2022-05-14,91,4,4,64
146,6523,2023-01-12,162,19,6,52
147,49183,2024-04-05,45,2,6,44
148,49709,2023-06-08,184,9,11,83
149,15021,2024-09-02,234,6,14,89
150,4025,2023-09-29,42,14,13,56
151,13898,2022-08-30,16,17,5,6
152,41485,2024-11-24,96,17,15,47
153,39656,2023-05-01,196,15,15,4
154,9656,2022-04-03,55,10,12,38
155,6243,2023-02-27,141,11,15,54
156,23527,2022-01-27,208,6,5,86
157,2696,2023-08-13,126,4,5,91
158,24235,2023-12-29,169,2,8,88
159,27816,2022-07-27,99,7,3,82
160,10780,2022-12-16,65,16,5,76
161,43056,2023-07-08,119,13,0,26
162,34549,2022-11-03,194,20,4,62
163,45740,2024-05-25,208,1,15,46
164,10827,2024-11-13,114,1,2,11
165,38843,2022-02-20,118,15,12,12
166,5888,2024-07-20,198,18,7,85
167,34567,2022-02-25,127,10,4,89
168,38656,2023-10-11,199,9,6,74
169,6759,2023-05-30,89,11,15,9
170,19936,2023-01-27,34,6,2,15
171,15099,2022-07-06,16,5,1,36
172,21240,2024-09-22,40,5,5,36
173,23149,2022-05-22,208,6,2,25
174,5602,2024-06-13,171,5,2,57
175,225,2025-01-22,150,14,3,87
176,44880,2022-01-04,144,17,13,98
177,41706,2023-10-15,53,5,8,51
178,1250,2023-01-13,193,12,8,69
179,36008,2023-04-22,18,3,6,96
180,37356,2023-11-16,179,17,11,56
181,31390,2024-10-14,147,12,4,76
182,45713,2023-10-13,211,19,11,62
183,13441,2024-03-14,158,3,0,94
184,5820,2024-02-04,20,13,11,11
185,40431,2023-02-23,173,12,0,83
186,25926,2024-01-17,94,10,2,11
187,14161,2022-11-21,69,4,14,43
188,38993,2025-02-25,117,20,0,49
189,4235,2023-05-25,179,12,14,41
190,16206,2024-01-02,70,9,7,50
191,27178,2024-08-26,137,17,7,66
192,14131,2024-01-17,50,13,14,37
193,20451,2024-02-07,141,17,0,34
194,17207,2023-10-09,219,12,7,41
195,40576,2023-09-03,16,17,6,39
196,39513,2024-09-07,83,4,6,41
197,43146,2023-08-28,56,6,2,75
198,28695,2023-07-27,156,5,3,5
199,46132,2023-02-09,139,1,10,46
200,18441,2022-10-10,73,14,10,4
201,34485,2024-06-13,18,3,7,24
202,31062,2025-03-23,65,3,4,93
203,17160,2024-07-14,176,19,11,27
204,11229,2023-02-17,199,9,11,47
205,33451,2022-01-13,174,11,10,90
206,37656,2022-03-27,216,13,12,51
207,16766,2025-02-20,213,9,13,38
208,22583,2023-03-24,158,14,10,50
209,31786,2023-08-21,217,2,5,52
210,26893,2022-01-24,226,2,0,26
211,11399,2024-08-09,37,17,8,81
212,48201,2022-12-31,232,7,2,96
213,5652,2023-01-10,16,20,7,85
214,47459,2023-04-03,122,9,5,59
215,18948,2022-02-12,109,20,0,15
216,26466,2022-05-10,78,13,5,97
217,175,2023-08-17,125,8,5,57
218,30414,2023-12-02,46,4,13,47
219,20231,2022-03-17,208,3,2,56
220,14115,2025-01-24,40,15,12,46
221,42035,2023-04-07,39,10,8,96
222,10923,2023-08-23,73,16,12,23
223,23147,2024-08-17,232,1,12,2
224,13175,2023-07-20,76,12,1,29
225,16971,2023-08-06,26,10,1,82
226,10078,2022-05-16,154,18,9,17
227,45592,2024-08-27,217,6,6,20
228,38583,2022-04-16,15,16,12,38
229,9515,2024-12-14,90,13,8,21
230,16513,2022-12-10,231,20,14,66
231,21096,2024-04-21,28,5,12,22
232,35605,2024-01-07,228,4,14,3
233,7914,2024-12-20,152,15,11,46
234,21866,2023-12-14,83,2,9,16
235,32792,2022-12-29,69,2,15,17
236,34982,2023-08-13,183,18,13,52
237,17445,2024-02-04,46,9,5,49
238,26280,2023-11-25,20,15,1,37
239,43222,2024-11-23,124,10,7,23
240,10323,2023-08-16,140,10,14,86
241,32003,2023-04-18,123,20,8,92
242,44692,2022-12-26,157,4,11,56
243,42542,2023-01-24,154,5,9,96
244,35336,2024-03-25,229,10,14,37
245,18412,2022-05-15,235,10,12,74
246,10235,2023-03-11,17,15,1,18
247,7706,2024-02-10,168,12,9,37
248,46595,2024-05-03,49,10,13,11
249,21292,2023-02-24,22,15,12,35
250,40640,2023-08-20,77,11,9,68
251,15190,2023-03-03,160,12,14,15
252,45240,2023-08-03,112,9,10,36
253,29908,2025-01-12,105,18,4,8
254,9839,2024-06-16,192,1,3,93
255,14981,2025-01-28,198,8,13,62
256,31933,2022-06-15,222,18,7,85
257,14831,2024-01-24,89,1,3,58
258,40224,2023-02-02,115,14,3,30
259,25209,2023-01-22,238,15,13,49
260,26596,2024-01-31,108,6,1,57
261,7190,2024-01-30,13,18,2,18
262,3278,2023-01-08,189,18,8,86
263,49051,2022-05-22,13,14,15,34
264,41759,2023-08-20,43,15,15,19
265,22316,2023-05-07,199,15,11,20
266,17139,2023-01-20,116,8,12,71
267,11081,2024-04-12,147,16,6,40
268,11438,2024-04-20,199,11,6,1
269,17965,2023-10-01,196,8,3,77
270,19544,2024-02-19,154,10,6,95
271,18201,2023-09-03,203,12,9,76
272,26551,2023-05-22,23,17,3,8
273,5587,2024-01-18,77,6,8,55
274,17747,2023-05-09,209,17,12,87
275,31250,2023-01-25,179,6,2,62
276,4785,2024-05-15,235,14,9,77
277,35524,2022-04-13,49,3,2,5
278,9200,2024-02-24,169,3,3,62
279,31881,2024-07-08,211,20,15,85
280,14500,2023-05-27,200,8,10,35
281,42966,2024-03-12,161,17,13,62
282,26547,2024-05-14,129,13,0,43
283,4164,2024-07-08,165,5,7,32
284,49343,2024-01-16,99,5,9,44
285,20285,2022-05-17,229,4,6,88
286,47888,2024-11-24,155,6,11,3
287,1286,2023-09-23,80,18,4,49
288,42629,2022-06-24,31,20,6,61
289,7235,2024-02-03,194,14,14,57
290,20594,2023-10-05,116,14,3,63
291,8353,2024-11-09,112,13,3,71
292,293,2024-03-24,174,8,7,21
293,12877,2023-12-31,122,14,2,49
294,44026,2023-06-16,46,5,1,10
295,10183,2025-03-25,138,19,8,22
296,15477,2023-08-03,76,4,12,4
297,17726,2023-08-07,35,19,6,40
298,37097,2022-05-29,33,16,13,79
299,15726,2023-01-28,209,2,2,41
300,18086,2023-10-05,33,8,6,48
301,18524,2023-10-14,128,19,7,81
302,21609,2023-05-22,66,7,13,45
303,5556,2022-12-28,206,19,0,88
304,34852,2024-08-24,146,16,14,35
305,32933,2023-11-20,193,7,3,98
306,15081,2024-09-10,16,14,0,74
307,34151,2023-10-01,44,3,10,7
308,16725,2024-01-17,42,4,10,27
309,47619,2025-02-14,5,1,6,34
310,12188,2025-03-18,186,14,13,35
311,14782,2025-03-04,67,2,6,10
312,46337,2022-01-05,52,8,2,92
313,13791,2024-08-11,112,5,5,99
314,49544,2023-04-03,143,15,10,20
315,19089,2022-01-09,199,13,11,91
316,25395,2024-04-15,181,4,8,40
317,5768,2025-03-13,10,18,2,6
318,46316,2025-03-28,129,6,7,71
319,6437,2022-06-09,116,7,13,19
320,5109,2023-06-09,197,18,8,1
321,20277,2025-02-05,1,4,13,53
322,23592,2023-09-12,214,5,5,31
323,7767,2024-01-16,129,10,9,79
324,20307,2022-12-04,116,15,11,56
325,32249,2022-04-27,81,2,15,72
326,25278,2023-08-13,168,9,5,64
327,4400,2023-09-21,231,16,13,86
328,39396,2024-12-22,228,10,14,76
329,11683,2023-05-16,199,19,13,16
330,16341,2023-08-23,107,14,6,75
331,40182,2022-10-05,159,13,12,24
332,15577,2024-10-16,186,13,11,77
333,5892,2023-02-11,4,11,4,6
334,25681,2024-04-11,182,3,5,44
335,28130,2023-11-24,234,4,1,48
336,6259,2022-09-15,17,6,7,66
337,49340,2025-01-06,62,3,13,37
338,31878,2023-02-23,222,2,15,8
339,206,2023-07-25,13,5,1,36
340,15447,2023-02-28,153,13,5,51
341,37920,2024-12-16,12,16,4,1
342,32684,2024-10-02,151,12,11,37
343,9473,2022-03-18,194,13,10,18
344,7858,2024-05-09,39,7,14,90
345,7773,2023-03-02,215,3,6,54
346,29711,2025-02-25,176,20,1,4
347,46364,2023-05-02,123,14,10,30
348,36200,2022-07-16,152,4,4,34
349,3284,2022-05-16,162,1,10,94
350,28782,2022-05-12,93,14,5,74
351,34158,2024-10-23,69,18,5,97
352,14310,2022-11-16,237,9,5,1
353,16047,2024-06-05,234,19,8,0
354,1956,2023-08-27,29,8,15,47
355,27936,2023-10-21,191,5,11,14
356,4622,2022-12-22,202,6,12,52
357,3255,2024-08-12,206,7,15,18
358,49193,2023-08-25,13,18,15,0
359,36997,2023-11-26,11,17,8,41
360,28674,2024-04-20,55,5,5,57
361,32153,2023-05-28,9,3,12,10
362,26124,2023-04-29,158,19,4,72
363,37758,2023-09-30,228,5,12,68
364,40736,2024-08-15,126,19,9,98
365,39031,2023-09-03,154,11,4,82
366,2286,2022-02-08,94,14,11,94
367,24130,2022-04-29,210,3,9,6
368,27834,2022-04-01,216,19,10,86
369,18663,2024-05-24,52,19,9,20
370,2755,2024-04-06,220,12,5,51
371,23623,2025-03-29,130,5,9,99
372,16675,2023-06-28,162,8,0,3
373,27798,2024-06-05,165,9,9,0
374,40135,2022-05-17,26,13,0,22
375,49483,2022-11-11,66,20,15,0
376,41109,2022-10-26,32,18,11,57
377,34764,2024-05-31,67,18,10,95
378,17212,2024-01-04,157,2,10,98
379,7977,2024-11-03,136,4,12,88
380,36271,2024-04-30,134,4,2,64
381,21209,2024-05-26,193,1,15,53
382,24095,2025-04-09,36,2,5,71
383,20845,2024-09-09,221,16,9,10
384,25939,2022-05-27,223,13,11,35
385,46545,2023-12-26,166,1,11,22
386,2304,2022-02-19,117,9,6,57
387,20201,2022-01-18,3,10,2,50
388,5951,2025-02-13,6,9,9,6
389,47469,2022-10-30,142,17,8,79
390,27436,2023-03-17,71,2,10,37
391,43269,2025-03-16,2,16,1,7
392,16454,2022-06-18,106,6,8,16
393,37845,2024-12-07,32,3,14,46
394,7468,2024-08-19,34,15,0,60
395,15926,2024-11-05,108,12,3,7
396,3964,2023-07-03,14,4,5,58
397,5400,2023-05-28,37,5,5,62
398,16521,2022-02-18,150,8,5,18
399,17997,2024-09-10,56,13,10,28
400,45505,2023-05-05,138,4,13,65
401,2624,2022-05-16,34,8,13,45
402,42030,2023-09-03,22,1,11,77
403,48249,2023-09-15,194,12,6,19
404,46723,2024-12-11,49,14,9,87
405,16144,2023-07-04,112,12,5,37
406,3753,2022-12-01,60,20,0,18
407,16845,2024-12-22,199,7,2,26
408,21098,2023-06-09,59,19,8,54
409,1314,2022-07-10,6,6,8,76
410,5486,2022-05-07,203,18,10,75
411,49533,2025-01-17,218,20,7,15
412,11584,2024-06-12,203,1,2,67
413,28570,2022-12-12,136,1,9,51
414,47861,2023-05-15,2,8,14,51
415,12404,2022-09-29,53,16,7,17
416,30518,2023-07-05,124,6,7,77
417,20597,2024-01-27,121,3,0,80
418,22998,2022-12-23,230,19,1,64
419,27723,2023-07-09,109,6,6,14
420,37025,2023-01-24,35,10,12,76
421,807,2023-01-04,151,10,13,74
422,4840,2024-08-28,124,19,8,0
423,33165,2022-04-18,237,13,8,45
424,46495,2024-02-06,77,7,9,47
425,2956,2023-08-07,171,13,6,97
426,5895,2023-07-14,10,13,3,89
427,35686,2025-03-15,128,12,4,83
428,44726,2022-03-06,84,11,1,10
429,22904,2023-10-21,61,16,1,23
430,27468,2024-02-01,168,17,3,63
431,48541,2022-10-23,149,14,8,0
432,40190,2023-06-16,201,18,10,90
433,47565,2025-03-01,112,7,8,17
434,41549,2025-03-20,136,13,12,38
435,7184,2023-05-10,176,18,10,69
436,4252,2024-05-02,104,5,7,67
437,29015,2024-07-30,48,3,2,3
438,7796,2024-05-08,29,4,3,24
439,34871,2024-02-21,165,17,0,11
440,216,2024-12-16,231,12,3,53
441,33071,2024-03-06,133,2,10,83
442,34440,2023-09-11,165,13,15,34
443,4237,2022-11-27,229,11,11,39
444,34626,2023-09-29,121,18,1,4
445,12002,2022-05-27,126,3,6,78
446,17734,2023-06-02,85,14,0,63
447,25420,2024-08-01,239,8,11,37
448,22756,2023-04-21,15,12,1,24
449,23777,2025-02-04,120,12,14,83
450,15703,2022-01-09,227,7,0,75
451,5853,2024-02-18,16,13,0,14
452,14116,2022-07-28,202,19,11,48
453,26844,2024-08-30,41,13,14,89
454,24152,2023-02-16,187,12,6,35
455,4343,2025-03-17,3,17,10,7
456,49718,2022-02-19,199,12,2,89
457,2503,2025-04-05,5,8,1,4
458,34824,2023-05-20,237,18,1,24
459,39179,2023-04-01,186,14,5,79
460,28993,2023-12-01,45,4,5,16
461,24424,2025-01-09,59,15,10,14
462,8654,2023-08-09,147,1,7,32
463,9498,2023-03-31,10,20,0,32
464,33619,2023-05-16,228,10,15,0
465,46163,2023-02-24,29,16,3,3
466,1980,2022-03-14,9,8,11,12
467,1374,2023-08-07,57,17,7,80
468,32278,2022-08-18,197,10,8,49
469,46695,2024-07-13,162,20,5,91
470,48613,2022-12-15,71,1,11,53
471,39664,2023-06-01,100,19,7,58
472,25552,2022-06-13,25,9,5,26
473,16021,2024-03-07,117,2,0,95
474,30713,2024-05-07,16,15,7,44
475,7212,2022-04-28,168,8,1,16
476,32336,2023-04-07,216,10,2,61
477,9295,2022-06-08,180,5,2,93
478,36053,2024-09-27,92,20,1,29
479,46140,2022-07-08,183,2,8,48
480,46097,2023-09-07,119,7,3,17
481,22596,2022-08-07,153,12,10,43
482,45282,2023-01-30,88,13,10,11
483,30987,2022-03-01,41,8,3,35
484,42057,2023-04-22,88,3,5,91
485,45153,2023-07-07,204,3,11,10
486,39165,2025-03-30,115,13,0,70
487,13200,2022-04-13,8,11,3,19
488,33852,2024-01-14,38,2,13,18
489,31986,2024-06-27,55,10,7,39
490,43422,2025-03-05,20,3,12,69
491,10869,2022-05-08,156,12,4,50
492,48560,2025-02-21,185,5,1,96
493,33546,2024-06-20,21,5,0,58
494,43918,2023-04-04,212,11,10,98
495,25095,2024-04-28,207,2,3,41
496,5524,2022-07-11,205,9,13,6
497,12803,2024-05-21,8,5,5,0
498,8540,2024-11-10,121,15,3,66
499,24822,2023-01-23,154,4,0,76
500,35001,2022-06-05,207,19,0,92
501,4082,2022-02-26,66,10,11,48
502,49769,2022-06-15,103,2,12,37
503,6486,2024-01-13,134,2,2,64
504,12144,2023-10-29,231,15,7,31
505,39770,2024-04-19,214,18,9,42
506,43896,2023-01-12,212,20,12,42
507,24856,2023-03-27,69,11,6,73
508,42429,2023-09-14,45,8,15,72
509,45288,2022-02-23,182,4,6,54
510,12191,2023-08-17,159,2,2,56
511,28885,2022-12-09,83,6,12,17
512,10632,2025-04-09,157,14,5,97
513,36902,2025-04-11,113,12,12,69
514,27856,2023-01-19,188,2,0,71
