subscription_id,customer_id,plan_name,billing_cycle,subscription_start,subscription_end,monthly_price,subscription_status,auto_renew
1,1,Pro,Monthly,2024-04-16,2024-09-07,35,Paused,True
2,2,Free,Yearly,2024-06-18,2026-06-03,0,Paused,True
3,3,Starter,Monthly,2022-09-07,2023-12-17,15,Paused,False
4,4,Starter,Monthly,2024-02-18,2024-07-24,15,Cancelled,False
5,5,Pro,Yearly,2023-12-27,2025-08-01,35,Paused,True
6,6,Pro,Monthly,2022-05-28,2023-03-28,35,Cancelled,True
7,7,Pro,Monthly,2025-04-06,2026-04-26,35,Active,False
8,8,Starter,Yearly,2025-03-09,2026-11-22,15,Active,True
9,9,Free,Monthly,2024-11-04,2026-10-11,0,Cancelled,True
10,10,Pro,Monthly,2024-02-26,2024-07-14,35,Cancelled,False
11,11,Pro,Monthly,2023-09-13,2024-02-01,35,Paused,False
12,12,Pro,Yearly,2022-11-15,2024-01-25,35,Active,True
13,13,Free,Monthly,2022-01-22,2022-08-03,0,Active,True
14,14,Enterprise,Monthly,2022-07-16,2024-01-08,99,Cancelled,True
15,15,Pro,Yearly,2024-03-14,2026-02-16,35,Cancelled,True
16,16,Free,Monthly,2023-07-28,2024-12-12,0,Paused,False
17,17,Enterprise,Monthly,2024-05-20,2026-01-20,99,Paused,False
18,18,Starter,Yearly,2023-05-01,2025-03-23,15,Cancelled,False
19,19,Pro,Monthly,2022-02-02,2022-03-18,35,Active,False
20,20,Starter,Monthly,2024-05-26,2024-11-18,15,Active,False
21,21,Pro,Yearly,2024-11-09,2026-08-10,35,Cancelled,False
22,22,Pro,Yearly,2024-08-05,2025-11-15,35,Cancelled,False
23,23,Starter,Monthly,2022-07-26,2023-07-15,15,Active,True
24,24,Starter,Monthly,2023-09-27,2024-11-16,15,Paused,False
25,25,Starter,Yearly,2022-12-19,2024-02-04,15,Active,True
26,26,Pro,Yearly,2024-08-27,2024-11-14,35,Cancelled,False
27,27,Free,Yearly,2022-08-04,2023-11-12,0,Active,False
28,28,Enterprise,Yearly,2024-05-30,2024-12-24,99,Active,True
29,29,Starter,Monthly,2022-11-18,2024-04-25,15,Paused,True
30,30,Starter,Yearly,2024-11-12,2026-01-25,15,Active,True
31,31,Free,Yearly,2022-03-16,2022-06-19,0,Active,True
32,32,Enterprise,Monthly,2025-03-15,2026-01-18,99,Active,True
33,33,Starter,Yearly,2023-07-07,2023-12-16,15,Active,False
34,34,Starter,Yearly,2022-07-01,2023-04-13,15,Active,True
35,35,Enterprise,Yearly,2022-08-17,2023-05-29,99,Active,True
36,36,Pro,Yearly,2022-08-07,2022-11-09,35,Paused,False
37,37,Pro,Monthly,2023-05-23,2024-02-21,35,Active,True
38,38,Free,Yearly,2023-09-05,2024-12-30,0,Cancelled,True
39,39,Pro,Yearly,2022-04-12,2023-06-24,35,Active,False
40,40,Starter,Yearly,2025-03-01,2025-04-16,15,Paused,True
41,41,Pro,Monthly,2022-10-23,2023-01-22,35,Active,True
42,42,Starter,Yearly,2022-08-23,2022-10-05,15,Cancelled,False
43,43,Pro,Monthly,2023-04-18,2024-03-24,35,Paused,False
44,44,Starter,Monthly,2024-11-02,2025-04-25,15,Cancelled,True
45,45,Enterprise,Yearly,2024-02-22,2025-08-25,99,Cancelled,False
46,46,Starter,Yearly,2022-06-28,2024-01-09,15,Cancelled,False
47,47,Starter,Yearly,2024-04-16,2026-02-27,15,Active,False
48,48,Starter,Yearly,2024-03-19,2025-11-26,15,Paused,False
49,49,Pro,Monthly,2022-10-17,2023-10-29,35,Cancelled,True
50,50,Pro,Monthly,2022-05-08,2022-12-15,35,Paused,True
51,51,Starter,Yearly,2023-07-07,2025-03-04,15,Paused,True
52,52,Starter,Monthly,2023-12-08,2025-12-03,15,Paused,True
53,53,Enterprise,Yearly,2024-12-21,2025-11-27,99,Paused,True
54,54,Pro,Monthly,2024-10-28,2025-12-06,35,Paused,False
55,55,Free,Yearly,2023-01-27,2024-12-01,0,Cancelled,False
56,56,Starter,Monthly,2023-10-20,2024-10-06,15,Active,True
57,57,Starter,Monthly,2023-02-08,2024-09-16,15,Cancelled,True
58,58,Enterprise,Monthly,2024-09-12,2026-03-07,99,Active,True
59,59,Pro,Yearly,2022-04-10,2022-07-14,35,Cancelled,False
60,60,Pro,Yearly,2023-03-03,2024-06-09,35,Cancelled,True
61,61,Enterprise,Yearly,2025-02-04,2027-01-16,99,Paused,False
62,62,Pro,Yearly,2024-11-19,2025-05-15,35,Active,False
63,63,Pro,Yearly,2022-11-22,2023-02-02,35,Cancelled,True
64,64,Pro,Monthly,2023-06-14,2023-11-18,35,Paused,False
65,65,Free,Yearly,2024-08-06,2025-09-29,0,Paused,False
66,66,Pro,Monthly,2024-03-11,2024-05-18,35,Paused,True
67,67,Enterprise,Monthly,2023-10-19,2024-06-25,99,Cancelled,True
68,68,Starter,Yearly,2023-12-20,2025-09-11,15,Paused,True
69,69,Free,Monthly,2023-01-05,2023-07-11,0,Paused,False
70,70,Pro,Monthly,2024-07-27,2025-12-15,35,Cancelled,True
71,71,Pro,Yearly,2025-01-23,2026-03-19,35,Paused,True
72,72,Pro,Yearly,2023-04-06,2023-09-08,35,Active,True
73,73,Pro,Yearly,2023-03-18,2023-11-06,35,Cancelled,True
74,74,Starter,Yearly,2022-08-06,2023-08-07,15,Paused,True
75,75,Free,Monthly,2024-01-28,2025-03-02,0,Cancelled,True
76,76,Free,Yearly,2023-12-06,2024-03-30,0,Paused,True
77,77,Pro,Monthly,2022-05-13,2024-05-10,35,Paused,True
78,78,Free,Monthly,2024-12-23,2025-03-31,0,Paused,True
79,79,Starter,Monthly,2024-12-06,2026-04-07,15,Cancelled,False
80,80,Free,Yearly,2022-12-26,2023-05-21,0,Paused,False
81,81,Pro,Yearly,2024-07-18,2025-05-21,35,Paused,False
82,82,Pro,Monthly,2024-04-19,2024-07-06,35,Cancelled,True
83,83,Pro,Yearly,2024-11-11,2025-06-20,35,Cancelled,False
84,84,Enterprise,Yearly,2022-02-19,2023-04-06,99,Active,False
85,85,Starter,Monthly,2022-03-23,2023-03-26,15,Paused,False
86,86,Pro,Monthly,2024-07-04,2024-10-23,35,Cancelled,True
87,87,Starter,Monthly,2022-09-20,2022-12-14,15,Active,True
88,88,Enterprise,Monthly,2022-08-03,2023-02-04,99,Paused,False
89,89,Starter,Yearly,2024-06-06,2025-06-04,15,Cancelled,True
90,90,Starter,Monthly,2023-05-04,2024-01-17,15,Cancelled,False
91,91,Starter,Yearly,2022-06-22,2024-04-08,15,Cancelled,True
92,92,Starter,Yearly,2022-07-26,2022-12-06,15,Active,True
93,93,Enterprise,Yearly,2023-02-11,2023-10-18,99,Active,False
94,94,Starter,Yearly,2022-12-27,2023-10-04,15,Active,True
95,95,Starter,Yearly,2024-03-09,2024-04-28,15,Cancelled,True
96,96,Enterprise,Monthly,2024-12-28,2026-08-15,99,Paused,True
97,97,Free,Monthly,2022-09-17,2024-02-25,0,Cancelled,True
98,98,Pro,Monthly,2022-07-15,2022-08-27,35,Cancelled,False
99,99,Pro,Yearly,2022-10-13,2023-08-27,35,Active,True
100,100,Pro,Monthly,2023-12-23,2024-12-12,35,Cancelled,True
101,101,Pro,Yearly,2023-07-23,2024-01-31,35,Paused,True
102,102,Pro,Monthly,2023-08-27,2024-01-09,35,Paused,False
103,103,Enterprise,Monthly,2023-02-22,2023-05-28,99,Cancelled,False
104,104,Pro,Monthly,2024-10-30,2025-03-22,35,Paused,False
105,105,Starter,Yearly,2022-07-10,2023-04-27,15,Paused,True
106,106,Starter,Monthly,2023-01-05,2024-01-05,15,Active,False
107,107,Free,Yearly,2023-11-30,2024-03-14,0,Cancelled,False
108,108,Pro,Monthly,2023-10-04,2024-11-12,35,Active,True
109,109,Starter,Yearly,2022-12-22,2024-01-16,15,Cancelled,True
110,110,Free,Yearly,2025-01-10,2026-04-07,0,Cancelled,False
111,111,Starter,Yearly,2022-09-25,2023-05-31,15,Cancelled,False
112,112,Pro,Monthly,2024-08-26,2025-05-14,35,Paused,False
113,113,Enterprise,Monthly,2023-12-21,2025-06-18,99,Cancelled,True
114,114,Enterprise,Monthly,2023-03-21,2024-06-18,99,Active,True
115,115,Pro,Yearly,2022-02-22,2023-09-25,35,Cancelled,True
116,116,Enterprise,Monthly,2023-12-24,2025-03-25,99,Active,True
117,117,Pro,Monthly,2022-10-25,2024-06-27,35,Active,False
118,118,Free,Monthly,2024-07-13,2026-04-16,0,Active,False
119,119,Pro,Yearly,2022-07-12,2023-04-13,35,Paused,True
120,120,Pro,Yearly,2023-10-31,2025-06-15,35,Paused,True
121,121,Starter,Yearly,2023-02-05,2024-06-20,15,Cancelled,False
122,122,Pro,Yearly,2024-10-04,2024-11-08,35,Paused,False
123,123,Pro,Yearly,2023-12-03,2025-11-10,35,Active,True
124,124,Starter,Yearly,2023-05-07,2024-02-18,15,Active,False
125,125,Pro,Monthly,2023-02-09,2023-04-02,35,Cancelled,True
