ticket_id,customer_id,issue_category,priority,resolution_time_hours,satisfaction_score,created_date
1,44879,Performance,Medium,43,1,2024-04-10
2,4016,Billing,Medium,38,2,2022-10-28
3,4711,Feature Request,High,57,1,2024-11-29
4,24376,Login Issue,High,68,2,2023-01-15
5,22953,Feature Request,Low,47,4,2024-06-23
6,46227,Login Issue,Critical,5,1,2024-08-05
7,30843,Bug Report,High,39,3,2023-10-09
8,40994,Feature Request,Low,17,5,2023-08-04
9,21355,Bug Report,Medium,35,4,2022-05-27
10,12648,Login Issue,Critical,51,1,2022-01-12
11,19286,Performance,High,7,5,2022-08-25
12,23330,Login Issue,High,22,5,2023-04-26
13,29244,Performance,Critical,55,1,2024-03-11
14,40312,Billing,High,39,4,2023-05-07
15,1722,Feature Request,High,30,5,2023-11-19
16,36217,Bug Report,Critical,6,3,2024-11-03
17,12275,Feature Request,Critical,37,5,2024-04-27
18,12006,Billing,Critical,20,4,2022-08-06
19,39684,Account Access,Medium,7,5,2022-12-18
20,18741,Login Issue,High,18,2,2022-07-03
21,1731,Account Access,Critical,64,1,2022-07-12
22,13622,Performance,Medium,38,2,2022-05-24
23,28878,Performance,Critical,43,3,2022-07-16
24,4517,Bug Report,Critical,63,5,2022-07-22
25,40400,Feature Request,High,59,2,2023-09-29
26,42930,Bug Report,Medium,67,5,2023-01-30
27,37750,Feature Request,Critical,8,5,2023-09-29
28,32762,Performance,Medium,39,3,2024-06-01
29,36353,Bug Report,Critical,3,4,2024-12-26
30,15269,Bug Report,Low,57,1,2023-07-20
31,39964,Login Issue,High,66,1,2023-07-02
32,6109,Billing,Critical,46,3,2023-09-12
33,4804,Account Access,Critical,26,4,2023-02-05
34,41141,Performance,High,33,5,2022-12-15
35,4657,Account Access,Low,38,5,2022-12-23
36,32159,Account Access,Critical,58,4,2023-09-02
37,27208,Performance,High,47,5,2023-09-22
38,33124,Billing,Low,27,2,2024-04-23
39,1974,Performance,High,36,5,2024-08-21
40,16352,Account Access,Critical,18,5,2023-08-17
41,7903,Account Access,Low,55,5,2023-12-23
42,13910,Feature Request,High,64,1,2023-07-13
43,49995,Account Access,Critical,58,5,2022-07-19
44,33779,Login Issue,Medium,71,4,2024-03-19
45,5424,Login Issue,Critical,9,3,2025-01-12
46,38884,Billing,Medium,65,3,2024-12-29
47,1789,Login Issue,High,37,1,2022-10-14
48,14360,Feature Request,Low,34,5,2023-06-27
49,21218,Login Issue,Low,31,1,2022-01-31
50,4768,Account Access,Low,42,2,2025-02-03
51,4774,Feature Request,Critical,44,2,2022-04-26
52,26799,Billing,High,59,4,2024-08-16
53,35804,Bug Report,Medium,33,5,2025-04-12
54,18001,Feature Request,Critical,11,2,2022-12-30
55,48251,Bug Report,High,18,3,2023-08-24
56,44517,Bug Report,Medium,3,1,2022-10-18
57,10441,Feature Request,High,1,2,2025-01-22
58,2528,Bug Report,High,44,1,2025-04-14
59,17750,Billing,Low,32,3,2024-11-03
60,45204,Performance,Critical,36,2,2023-12-11
61,664,Bug Report,Critical,44,5,2023-03-13
62,2681,Account Access,High,20,5,2023-05-22
63,24044,Performance,High,65,5,2022-08-11
64,35814,Billing,Critical,39,3,2024-04-22
65,45315,Billing,Critical,65,5,2024-11-13
66,45410,Feature Request,High,58,5,2023-04-05
67,39340,Bug Report,Medium,44,2,2024-03-16
68,25294,Feature Request,High,28,4,2022-07-10
69,12436,Bug Report,Low,64,3,2024-06-22
70,24670,Feature Request,Medium,65,4,2023-04-17
71,7780,Billing,Critical,67,2,2024-10-19
72,8657,Billing,High,36,5,2023-10-22
73,11469,Bug Report,Medium,41,2,2023-08-10
74,45377,Performance,Low,25,3,2022-09-19
75,1164,Bug Report,Low,11,3,2024-04-03
76,40859,Billing,Low,69,5,2025-01-03
77,13904,Billing,Medium,61,2,2022-03-18
78,49050,Bug Report,Critical,50,1,2024-09-15
79,10952,Account Access,Medium,15,1,2023-11-23
80,36441,Performance,Medium,46,1,2024-11-12
81,1913,Performance,Critical,31,2,2024-12-06
82,22084,Feature Request,High,50,5,2022-10-15
83,10831,Account Access,High,58,3,2024-01-19
84,28301,Account Access,High,61,5,2022-07-09
85,27623,Login Issue,Low,35,1,2022-07-17
86,44273,Login Issue,Low,11,5,2024-05-20
87,39191,Billing,Low,51,3,2023-07-18
88,12062,Account Access,Critical,55,4,2024-04-30
89,46383,Billing,Critical,3,4,2024-09-03
90,37953,Feature Request,Medium,1,4,2023-11-27
91,16352,Feature Request,Medium,8,3,2024-10-10
92,46063,Bug Report,Low,2,4,2023-08-04
93,26250,Login Issue,Critical,23,3,2024-05-13
94,2063,Account Access,Critical,24,4,2024-05-12
95,162,Login Issue,Medium,41,1,2023-03-06
96,32164,Bug Report,High,16,5,2023-05-22
97,34517,Account Access,Critical,37,1,2022-07-02
98,3770,Billing,Medium,18,5,2022-01-20
99,8919,Performance,High,14,4,2024-07-21
100,22609,Billing,Low,65,3,2023-09-19
101,39481,Billing,Low,9,1,2024-01-24
102,26295,Bug Report,High,32,3,2024-07-17
103,20954,Login Issue,Medium,29,5,2022-09-06
104,35291,Performance,Low,31,5,2024-12-20
105,27918,Bug Report,Low,72,4,2024-12-23
